#   Time         Wext         Waer         Wela         Wkin         Wdmp         Error
 0.017100  1.2901E-01  0.0000E+00  7.9508E-05  1.2893E-01  0.0000E+00  8.9343E-11
 0.017400  1.3358E-01  0.0000E+00  8.5234E-05  1.3349E-01  0.0000E+00 -7.5799E-11
 0.017700  1.3822E-01  0.0000E+00  9.1262E-05  1.3813E-01  0.0000E+00  4.3386E-11
 0.018000  1.4294E-01  0.0000E+00  9.7605E-05  1.4285E-01  0.0000E+00  3.8465E-11
 0.018300  1.4775E-01  0.0000E+00  1.0427E-04  1.4764E-01  0.0000E+00 -9.7599E-11
 0.018600  1.5263E-01  0.0000E+00  1.1128E-04  1.5252E-01  0.0000E+00  6.4761E-11
 0.018900  1.5759E-01  0.0000E+00  1.1863E-04  1.5747E-01  0.0000E+00 -1.5135E-11
 0.019200  1.6263E-01  0.0000E+00  1.2634E-04  1.6251E-01  0.0000E+00  1.0107E-10
 0.019500  1.6775E-01  0.0000E+00  1.3441E-04  1.6762E-01  0.0000E+00 -3.5950E-11
 0.019800  1.7295E-01  0.0000E+00  1.4287E-04  1.7281E-01  0.0000E+00  2.6238E-11
 0.020100  1.7823E-01  0.0000E+00  1.5172E-04  1.7808E-01  0.0000E+00  6.0251E-11
 0.020400  1.8359E-01  0.0000E+00  1.6098E-04  1.8343E-01  0.0000E+00  6.3716E-11
 0.020700  1.8903E-01  0.0000E+00  1.7065E-04  1.8886E-01  0.0000E+00  3.4438E-11
 0.021000  1.9455E-01  0.0000E+00  1.8076E-04  1.9437E-01  0.0000E+00 -2.9601E-11
 0.021300  2.0014E-01  0.0000E+00  1.9130E-04  1.9995E-01  0.0000E+00 -5.7505E-12
 0.021600  2.0582E-01  0.0000E+00  2.0230E-04  2.0562E-01  0.0000E+00 -1.8067E-11
 0.021900  2.1157E-01  0.0000E+00  2.1376E-04  2.1136E-01  0.0000E+00 -6.8685E-11
 0.022200  2.1741E-01  0.0000E+00  2.2571E-04  2.1718E-01  0.0000E+00 -2.9882E-11
 0.022500  2.2332E-01  0.0000E+00  2.3815E-04  2.2308E-01  0.0000E+00  1.0117E-10
 0.022800  2.2931E-01  0.0000E+00  2.5110E-04  2.2906E-01  0.0000E+00  5.9142E-11
 0.023100  2.3539E-01  0.0000E+00  2.6456E-04  2.3512E-01  0.0000E+00 -1.6396E-10
 0.023400  2.4154E-01  0.0000E+00  2.7856E-04  2.4126E-01  0.0000E+00  1.1154E-10
 0.023700  2.4777E-01  0.0000E+00  2.9311E-04  2.4748E-01  0.0000E+00 -2.1048E-10
 0.024000  2.5408E-01  0.0000E+00  3.0822E-04  2.5377E-01  0.0000E+00  1.1571E-10
 0.024300  2.6047E-01  0.0000E+00  3.2391E-04  2.6014E-01  0.0000E+00  1.1386E-10
 0.024600  2.6694E-01  0.0000E+00  3.4019E-04  2.6660E-01  0.0000E+00 -2.3018E-10
 0.024900  2.7348E-01  0.0000E+00  3.5707E-04  2.7313E-01  0.0000E+00  9.5280E-11
 0.025200  2.8011E-01  0.0000E+00  3.7457E-04  2.7974E-01  0.0000E+00 -7.2349E-11
 0.025500  2.8682E-01  0.0000E+00  3.9271E-04  2.8642E-01  0.0000E+00 -2.1582E-12
 0.025800  2.9360E-01  0.0000E+00  4.1150E-04  2.9319E-01  0.0000E+00  9.8896E-12
 0.026100  3.0047E-01  0.0000E+00  4.3095E-04  3.0003E-01  0.0000E+00 -4.0061E-11
 0.026400  3.0741E-01  0.0000E+00  4.5109E-04  3.0696E-01  0.0000E+00 -1.5486E-10
 0.026700  3.1443E-01  0.0000E+00  4.7192E-04  3.1396E-01  0.0000E+00 -2.4226E-11
 0.027000  3.2153E-01  0.0000E+00  4.9346E-04  3.2104E-01  0.0000E+00  4.1019E-11
 0.027300  3.2871E-01  0.0000E+00  5.1574E-04  3.2820E-01  0.0000E+00  3.7338E-11
 0.027600  3.3597E-01  0.0000E+00  5.3875E-04  3.3544E-01  0.0000E+00 -3.8886E-11
 0.027900  3.4331E-01  0.0000E+00  5.6253E-04  3.4275E-01  0.0000E+00  1.3668E-10
 0.028200  3.5073E-01  0.0000E+00  5.8708E-04  3.5015E-01  0.0000E+00 -9.2932E-11
 0.028500  3.5823E-01  0.0000E+00  6.1243E-04  3.5762E-01  0.0000E+00  9.6446E-11
 0.028800  3.6581E-01  0.0000E+00  6.3859E-04  3.6517E-01  0.0000E+00  3.8259E-11
 0.029100  3.7346E-01  0.0000E+00  6.6558E-04  3.7280E-01  0.0000E+00  2.3714E-10
 0.029400  3.8120E-01  0.0000E+00  6.9342E-04  3.8051E-01  0.0000E+00  7.1115E-12
 0.029700  3.8901E-01  0.0000E+00  7.2211E-04  3.8829E-01  0.0000E+00  3.2662E-11
 0.030000  3.9691E-01  0.0000E+00  7.5169E-04  3.9616E-01  0.0000E+00  1.4369E-10
